# matchedfilter COARSE THRESHOLD table -- measured, not modelled.
#
# THR n snr f ratio fd threshold
#
# The threshold the coarse maximum is compared against. Bisected
# directly against measured false dismissal until the rate meets fd,
# so the number stored IS the measurement: nothing derives it and
# nothing corrects it. It replaces hmf_threshold's Rice model plus a
# margin, which were two answers to one question.
#
# ratio = band / B_eff, the samples across the correlation peak. That
# is what scalloping depends on, it is dimensionless, and there is no
# n in it. Real references sit at 1.7 to 5.3; the old grid started at 8.
# 6000 trials a bisection step, 9 steps.
THR 1024 5.50 0.8000 8.000 1e-03 3.9102
THR 1024 5.50 0.8000 16.000 1e-03 3.8457
THR 1024 5.50 0.9000 1.200 1e-03 3.4010
THR 1024 5.50 0.9000 1.500 1e-03 3.4912
THR 1024 5.50 0.9000 2.000 1e-03 3.8070
THR 1024 5.50 0.9000 3.000 1e-03 4.2389
THR 1024 5.50 0.9000 4.000 1e-03 4.2969
THR 1024 5.50 0.9000 6.000 1e-03 4.4387
THR 1024 5.50 0.9000 8.000 1e-03 4.6063
THR 1024 5.50 0.9000 16.000 1e-03 4.6320
THR 1024 5.50 0.9500 1.200 1e-03 3.4268
THR 1024 5.50 0.9500 1.500 1e-03 3.5943
THR 1024 5.50 0.9500 2.000 1e-03 3.9230
THR 1024 5.50 0.9500 3.000 1e-03 4.4773
THR 1024 5.50 0.9500 4.000 1e-03 4.6063
THR 1024 5.50 0.9500 6.000 1e-03 4.8318
THR 1024 5.50 0.9500 8.000 1e-03 4.8383
THR 1024 5.50 0.9500 16.000 1e-03 4.9672
THR 1024 5.50 0.9800 1.200 1e-03 3.5363
THR 1024 5.50 0.9800 1.500 1e-03 3.6846
THR 1024 5.50 0.9800 2.000 1e-03 4.0262
THR 1024 5.50 0.9800 3.000 1e-03 4.6191
THR 1024 5.50 0.9800 4.000 1e-03 4.8834
THR 1024 5.50 0.9800 6.000 1e-03 5.0703
THR 1024 5.50 0.9800 8.000 1e-03 5.1412
THR 1024 5.50 0.9800 16.000 1e-03 5.1605
THR 1024 5.50 0.9950 1.200 1e-03 3.5621
THR 1024 5.50 0.9950 1.500 1e-03 3.8908
THR 1024 5.50 0.9950 2.000 1e-03 4.1486
THR 1024 5.50 0.9950 3.000 1e-03 4.7158
THR 1024 5.50 0.9950 4.000 1e-03 4.9865
THR 1024 5.50 0.9950 6.000 1e-03 5.2572
THR 1024 5.50 0.9950 8.000 1e-03 5.2959
THR 1024 5.50 0.9950 16.000 1e-03 5.3668
THR 1024 6.00 0.5000 1.200 1e-03 3.0000
THR 1024 6.00 0.5000 1.500 1e-03 3.0000
THR 1024 6.00 0.5000 2.000 1e-03 3.0000
THR 1024 6.00 0.5000 3.000 1e-03 3.0070
THR 1024 6.00 0.5000 4.000 1e-03 3.0141
THR 1024 6.00 0.5000 6.000 1e-03 3.0141
THR 1024 6.00 0.5000 8.000 1e-03 3.0000
THR 1024 6.00 0.5000 16.000 1e-03 3.0000
THR 1024 6.00 0.6000 1.200 1e-03 3.0000
THR 1024 6.00 0.6000 1.500 1e-03 3.0703
THR 1024 6.00 0.6000 2.000 1e-03 3.1898
THR 1024 6.00 0.6000 3.000 1e-03 3.2672
THR 1024 6.00 0.6000 4.000 1e-03 3.2953
THR 1024 6.00 0.6000 6.000 1e-03 3.2461
THR 1024 6.00 0.6000 8.000 1e-03 3.2812
THR 1024 6.00 0.6000 16.000 1e-03 3.3023
THR 1024 6.00 0.7000 1.200 1e-03 3.2109
THR 1024 6.00 0.7000 1.500 1e-03 3.3234
THR 1024 6.00 0.7000 2.000 1e-03 3.3445
THR 1024 6.00 0.7000 3.000 1e-03 3.5766
THR 1024 6.00 0.7000 4.000 1e-03 3.7242
THR 1024 6.00 0.7000 6.000 1e-03 3.7875
THR 1024 6.00 0.7000 8.000 1e-03 3.7594
THR 1024 6.00 0.7000 16.000 1e-03 3.6750
THR 1024 6.00 0.8000 1.200 1e-03 3.4289
THR 1024 6.00 0.8000 1.500 1e-03 3.5063
THR 1024 6.00 0.8000 2.000 1e-03 3.6680
THR 1024 6.00 0.8000 3.000 1e-03 3.9633
THR 1024 6.00 0.8000 4.000 1e-03 4.1180
THR 1024 6.00 0.8000 6.000 1e-03 4.3219
THR 1024 6.00 0.8000 8.000 1e-03 4.3570
THR 1024 6.00 0.8000 16.000 1e-03 4.2797
THR 1024 6.00 0.9000 1.200 1e-03 3.5555
THR 1024 6.00 0.9000 1.500 1e-03 3.8297
THR 1024 6.00 0.9000 2.000 1e-03 4.1461
THR 1024 6.00 0.9000 3.000 1e-03 4.6523
THR 1024 6.00 0.9000 4.000 1e-03 4.7016
THR 1024 6.00 0.9000 6.000 1e-03 4.8984
THR 1024 6.00 0.9000 8.000 1e-03 5.0742
THR 1024 6.00 0.9000 16.000 1e-03 5.1094
THR 1024 6.00 0.9500 1.200 1e-03 3.6609
THR 1024 6.00 0.9500 1.500 1e-03 3.9422
THR 1024 6.00 0.9500 2.000 1e-03 4.3148
THR 1024 6.00 0.9500 3.000 1e-03 4.8984
THR 1024 6.00 0.9500 4.000 1e-03 5.0602
THR 1024 6.00 0.9500 6.000 1e-03 5.3063
THR 1024 6.00 0.9500 8.000 1e-03 5.3555
THR 1024 6.00 0.9500 16.000 1e-03 5.4328
THR 1024 6.00 0.9800 1.200 1e-03 3.7172
THR 1024 6.00 0.9800 1.500 1e-03 4.0617
THR 1024 6.00 0.9800 2.000 1e-03 4.4766
THR 1024 6.00 0.9800 3.000 1e-03 5.0109
THR 1024 6.00 0.9800 4.000 1e-03 5.3414
