# matchedfilter tuning table
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  bc0cd1e
# trials  20000 per cell (~11571 detections); rates below ~3e-04 are unresolved
#
# Measured by running the real filter against injections and counting the
# peaks the ungated filter reports that it does not. Regenerate with
#   python tools/hmf_tune.py  (see its docstring for what invalidates it)
# FDR rows are a property of the statistic; COST rows are a property of
# this machine and this build, and go stale independently.
#
# WARNING: the COST rows are not usable yet. They were timed on the FDR
# harness, which injects at the threshold so ~half of all pairs trigger
# whatever the band -- so every band reads 9-13 us/pair, where the real
# captures separate band 256 and 1024 by 23 ms/segment against 10. Cost is
# set by how often the gate opens on NOISE at the operating point and needs
# its own pure-noise run.
#
# SCOPE: n=4096 only, decision window = the full transform. A table for
# other transform lengths has to be generated separately.
#
# FDR  n band U K snr f beff dismissal
FDR 4096 1024 2 4 5.50 0.9500 20.6 3.8757e-04
FDR 4096 1024 2 4 5.50 0.9500 100.6 1.6654e-04
FDR 4096 1024 2 4 5.50 0.9500 303.8 8.7405e-05
FDR 4096 1024 2 4 5.50 0.9500 611.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9500 925.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9900 20.6 7.5478e-03
FDR 4096 1024 2 4 5.50 0.9900 100.6 5.8377e-04
FDR 4096 1024 2 4 5.50 0.9900 303.8 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9900 611.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9900 925.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.8000 20.6 5.9112e-04
FDR 4096 1024 2 4 6.00 0.8000 100.6 4.4835e-04
FDR 4096 1024 2 4 6.00 0.8000 303.8 0.0000e+00
FDR 4096 1024 2 4 6.00 0.8000 611.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.8000 925.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9000 20.6 5.6634e-04
FDR 4096 1024 2 4 6.00 0.9000 100.6 3.4783e-04
FDR 4096 1024 2 4 6.00 0.9000 303.8 9.0942e-05
FDR 4096 1024 2 4 6.00 0.9000 611.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9000 925.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9500 20.6 2.3863e-04
FDR 4096 1024 2 4 6.00 0.9500 100.6 2.5534e-04
FDR 4096 1024 2 4 6.00 0.9500 303.8 8.9342e-05
FDR 4096 1024 2 4 6.00 0.9500 611.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9500 925.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9900 20.6 4.8972e-03
FDR 4096 1024 2 4 6.00 0.9900 100.6 2.5432e-04
FDR 4096 1024 2 4 6.00 0.9900 303.8 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9900 611.4 0.0000e+00
FDR 4096 1024 2 4 6.00 0.9900 925.4 0.0000e+00
FDR 4096 1024 2 8 5.00 0.8000 20.6 3.8379e-04
FDR 4096 1024 2 8 5.00 0.8000 100.6 3.3647e-04
FDR 4096 1024 2 8 5.00 0.8000 303.8 0.0000e+00
FDR 4096 1024 2 8 5.00 0.8000 611.4 0.0000e+00
FDR 4096 1024 2 8 5.00 0.8000 925.4 0.0000e+00
FDR 4096 1024 2 8 5.00 0.9000 20.6 5.2395e-04
FDR 4096 1024 2 8 5.00 0.9000 100.6 3.2549e-04
FDR 4096 1024 2 8 5.00 0.9000 303.8 3.4459e-04
FDR 4096 1024 2 8 5.00 0.9000 611.4 6.1745e-04
FDR 4096 1024 2 8 5.00 0.9000 925.4 1.8610e-03
FDR 4096 1024 2 8 5.00 0.9500 20.6 5.2691e-04
FDR 4096 1024 2 8 5.00 0.9500 100.6 5.6288e-04
FDR 4096 1024 2 8 5.00 0.9500 303.8 5.0891e-04
FDR 4096 1024 2 8 5.00 0.9500 611.4 2.0948e-03
FDR 4096 1024 2 8 5.00 0.9500 925.4 6.0718e-03
FDR 4096 1024 2 8 5.00 0.9900 20.6 8.8272e-03
FDR 4096 1024 2 8 5.00 0.9900 100.6 3.1749e-03
FDR 4096 1024 2 8 5.00 0.9900 303.8 4.0424e-03
FDR 4096 1024 2 8 5.00 0.9900 611.4 1.8594e-02
FDR 4096 1024 2 8 5.00 0.9900 925.4 3.4244e-02
FDR 4096 1024 2 8 5.50 0.8000 20.6 4.8697e-04
