# matchedfilter COST table -- RELATIVE cost per configuration, measured
#
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  398fa6f
#
# Cost RELATIVE to a pivot configuration at the same transform length, not
# microseconds. Absolute time is a property of machine, load and reference
# together; the ratio is a property of the configuration, which is the only
# thing selection needs.
#
# Measured by holding ONE reference fixed and timing every configuration on
# it, cycling rather than running each to completion, and dividing by a pivot
# measured in the same loop. Clock and turbo state, contention, cache
# temperature and the machine cancel in the ratio -- which is also what makes
# it safe to measure these in parallel on every core.
#
# Ranks configurations; do not read them as predictions of runtime.
#
# Regenerate for your own CPU:
#   python tools/hmf_tune.py --retune-cost --out mycost.txt
#   export MF_COST=$PWD/mycost.txt
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 2048 512 2 8 6.50 0.9780 109.1 0.7623
COST 2048 512 2 8 6.50 1.0000 100.6 0.5721
COST 2048 1024 2 4 5.00 1.0000 28.4 0.9937
COST 2048 1024 2 4 5.00 1.0000 35.4 0.9880
COST 2048 1024 2 4 5.00 1.0000 56.0 1.8408
COST 2048 1024 2 4 5.00 1.0000 69.8 1.0207
COST 2048 1024 2 4 5.00 1.0000 100.6 0.9961
COST 2048 1024 2 4 5.00 1.0000 114.1 0.9662
COST 2048 1024 2 4 5.00 1.0000 141.8 0.9804
COST 2048 1024 2 4 5.00 1.0000 227.4 1.0148
COST 2048 1024 2 4 5.00 1.0000 280.5 1.0344
COST 2048 1024 2 4 5.00 1.0000 410.5 1.0283
COST 2048 1024 2 4 5.50 1.0000 28.4 0.8025
COST 2048 1024 2 4 5.50 1.0000 35.4 0.9977
COST 2048 1024 2 4 5.50 1.0000 56.0 0.9835
COST 2048 1024 2 4 5.50 1.0000 69.8 1.0709
COST 2048 1024 2 4 5.50 1.0000 100.6 1.0715
COST 2048 1024 2 4 5.50 1.0000 114.1 1.5733
COST 2048 1024 2 4 5.50 1.0000 141.8 0.9897
COST 2048 1024 2 4 5.50 1.0000 227.4 1.0167
COST 2048 1024 2 4 5.50 1.0000 280.5 1.1653
COST 2048 1024 2 4 5.50 1.0000 410.5 1.1502
COST 2048 1024 2 4 5.75 1.0000 28.4 1.0025
COST 2048 1024 2 4 5.75 1.0000 35.4 1.0025
COST 2048 1024 2 4 5.75 1.0000 56.0 1.0773
COST 2048 1024 2 4 5.75 1.0000 69.8 0.9610
COST 2048 1024 2 4 5.75 1.0000 100.6 0.9881
COST 2048 1024 2 4 5.75 1.0000 114.1 1.0023
COST 2048 1024 2 4 5.75 1.0000 141.8 1.2666
COST 2048 1024 2 4 5.75 1.0000 227.4 0.8644
COST 2048 1024 2 4 5.75 1.0000 280.5 1.0301
COST 2048 1024 2 4 5.75 1.0000 410.5 1.0011
COST 2048 1024 2 4 6.00 1.0000 28.4 1.0018
COST 2048 1024 2 4 6.00 1.0000 35.4 1.0163
COST 2048 1024 2 4 6.00 1.0000 56.0 1.0208
COST 2048 1024 2 4 6.00 1.0000 69.8 0.9987
COST 2048 1024 2 4 6.00 1.0000 100.6 0.9969
COST 2048 1024 2 4 6.00 1.0000 114.1 1.0062
COST 2048 1024 2 4 6.00 1.0000 141.8 1.0319
COST 2048 1024 2 4 6.00 1.0000 227.4 1.0212
COST 2048 1024 2 4 6.00 1.0000 280.5 0.9667
COST 2048 1024 2 4 6.00 1.0000 410.5 0.7655
COST 2048 1024 2 4 6.50 1.0000 28.4 0.9873
COST 2048 1024 2 4 6.50 1.0000 35.4 1.0293
COST 2048 1024 2 4 6.50 1.0000 56.0 0.9735
COST 2048 1024 2 4 6.50 1.0000 69.8 1.0210
COST 2048 1024 2 4 6.50 1.0000 100.6 1.1013
COST 2048 1024 2 4 6.50 1.0000 114.1 1.0061
COST 2048 1024 2 4 6.50 1.0000 141.8 1.0094
COST 2048 1024 2 4 6.50 1.0000 227.4 0.9958
COST 2048 1024 2 4 6.50 1.0000 280.5 1.0942
COST 2048 1024 2 4 6.50 1.0000 410.5 0.9632
COST 2048 1024 2 8 5.00 1.0000 28.4 1.0000
COST 2048 1024 2 8 5.00 1.0000 35.4 1.0000
COST 2048 1024 2 8 5.00 1.0000 56.0 1.0000
COST 2048 1024 2 8 5.00 1.0000 69.8 1.0000
COST 2048 1024 2 8 5.00 1.0000 100.6 1.0000
COST 2048 1024 2 8 5.00 1.0000 114.1 1.0000
COST 2048 1024 2 8 5.00 1.0000 141.8 1.0000
COST 2048 1024 2 8 5.00 1.0000 227.4 1.0000
COST 2048 1024 2 8 5.00 1.0000 280.5 1.0000
COST 2048 1024 2 8 5.00 1.0000 410.5 1.0000
COST 2048 1024 2 8 5.50 1.0000 28.4 1.0000
COST 2048 1024 2 8 5.50 1.0000 35.4 1.0000
COST 2048 1024 2 8 5.50 1.0000 56.0 1.0000
COST 2048 1024 2 8 5.50 1.0000 69.8 1.0000
COST 2048 1024 2 8 5.50 1.0000 100.6 1.0000
COST 2048 1024 2 8 5.50 1.0000 114.1 1.0000
COST 2048 1024 2 8 5.50 1.0000 141.8 1.0000
COST 2048 1024 2 8 5.50 1.0000 227.4 1.0000
COST 2048 1024 2 8 5.50 1.0000 280.5 1.0000
COST 2048 1024 2 8 5.50 1.0000 410.5 1.0000
COST 2048 1024 2 8 5.75 1.0000 28.4 1.0000
COST 2048 1024 2 8 5.75 1.0000 35.4 1.0000
COST 2048 1024 2 8 5.75 1.0000 56.0 1.0000
COST 2048 1024 2 8 5.75 1.0000 69.8 1.0000
