# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 5.50 0.9950 16.12 1.000 1.1350e-02
ACC2 4096 4 5.50 0.9950 32.61 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 32.61 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 32.61 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 32.61 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9950 32.61 1.000 2.7493e-03
ACC2 4096 4 5.50 0.9950 64.60 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 64.60 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 64.60 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 64.60 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9950 64.60 1.000 0.0000e+00
ACC2 4096 4 5.50 0.9950 128.59 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 128.59 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 128.59 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 128.59 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9950 128.59 1.000 0.0000e+00
ACC2 4096 4 6.00 0.8000 2.03 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 2.03 0.930 1.2384e-04
ACC2 4096 4 6.00 0.8000 2.03 0.960 1.2384e-04
ACC2 4096 4 6.00 0.8000 2.03 0.980 1.8576e-04
ACC2 4096 4 6.00 0.8000 2.03 1.000 3.7152e-04
ACC2 4096 4 6.00 0.8000 3.94 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 3.94 0.930 0.0000e+00
ACC2 4096 4 6.00 0.8000 3.94 0.960 6.5091e-05
ACC2 4096 4 6.00 0.8000 3.94 0.980 1.3018e-04
ACC2 4096 4 6.00 0.8000 3.94 1.000 5.8582e-04
ACC2 4096 4 6.00 0.8000 8.14 0.900 0.0000e+00
