# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 5.00 0.7000 1.500 1e-02 3.4902
THR 32768 5.00 0.7000 2.000 1e-02 3.5020
THR 32768 5.00 0.7000 3.000 1e-02 3.5898
THR 32768 5.00 0.7000 4.000 1e-02 3.6191
THR 32768 5.00 0.7000 6.000 1e-02 3.6309
THR 32768 5.00 0.7000 8.000 1e-02 3.5957
THR 32768 5.00 0.7000 16.000 1e-02 3.5898
THR 32768 5.00 0.8000 1.200 1e-02 3.5430
THR 32768 5.00 0.8000 1.500 1e-02 3.5840
THR 32768 5.00 0.8000 2.000 1e-02 3.6660
THR 32768 5.00 0.8000 3.000 1e-02 3.8008
THR 32768 5.00 0.8000 4.000 1e-02 3.8301
THR 32768 5.00 0.8000 6.000 1e-02 3.9473
THR 32768 5.00 0.8000 8.000 1e-02 3.9297
THR 32768 5.00 0.8000 16.000 1e-02 3.9180
THR 32768 5.00 0.9000 1.200 1e-02 3.6191
THR 32768 5.00 0.9000 1.500 1e-02 3.6777
THR 32768 5.00 0.9000 2.000 1e-02 3.8418
THR 32768 5.00 0.9000 3.000 1e-02 4.1406
THR 32768 5.00 0.9000 4.000 1e-02 4.2344
THR 32768 5.00 0.9000 6.000 1e-02 4.2930
THR 32768 5.00 0.9000 8.000 1e-02 4.3223
THR 32768 5.00 0.9000 16.000 1e-02 4.3574
THR 32768 5.00 0.9500 1.200 1e-02 3.6484
THR 32768 5.00 0.9500 1.500 1e-02 3.7832
THR 32768 5.00 0.9500 2.000 1e-02 3.9648
THR 32768 5.00 0.9500 3.000 1e-02 4.3223
THR 32768 5.00 0.9500 4.000 1e-02 4.4746
THR 32768 5.00 0.9500 6.000 1e-02 4.5508
THR 32768 5.00 0.9500 8.000 1e-02 4.5625
THR 32768 5.00 0.9500 16.000 1e-02 4.5859
THR 32768 5.00 0.9800 1.200 1e-02 3.6777
THR 32768 5.00 0.9800 1.500 1e-02 3.8359
THR 32768 5.00 0.9800 2.000 1e-02 4.0527
THR 32768 5.00 0.9800 3.000 1e-02 4.4336
THR 32768 5.00 0.9800 4.000 1e-02 4.6035
THR 32768 5.00 0.9800 6.000 1e-02 4.7148
THR 32768 5.00 0.9800 8.000 1e-02 4.7441
THR 32768 5.00 0.9800 16.000 1e-02 4.7500
THR 32768 5.00 0.9950 1.200 1e-02 3.7012
THR 32768 5.00 0.9950 1.500 1e-02 3.8770
THR 32768 5.00 0.9950 2.000 1e-02 4.0762
