# ACC2R rows: n=4096, NO oversample, keyed on band/B_eff.
# measured at band 1024; 24000 trials a cell.
# ACC2R n K snr f ratio margin dismissal
ACC2R 4096 4 5.50 0.9500 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9500 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9500 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9500 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9500 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9500 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9500 7.963 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9500 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9500 15.851 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 15.851 0.980 1.3617e-04
ACC2R 4096 4 5.50 0.9500 15.851 1.000 3.4044e-04
ACC2R 4096 4 5.50 0.9500 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 31.403 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9500 31.403 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9500 31.403 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9500 31.403 1.000 4.6162e-04
ACC2R 4096 4 5.50 0.9800 1.009 0.900 1.7076e-01
ACC2R 4096 4 5.50 0.9800 1.009 0.930 2.1579e-01
ACC2R 4096 4 5.50 0.9800 1.009 0.960 2.6143e-01
ACC2R 4096 4 5.50 0.9800 1.009 0.980 2.9633e-01
ACC2R 4096 4 5.50 0.9800 1.009 1.000 3.3266e-01
ACC2R 4096 4 5.50 0.9800 1.494 0.900 7.8922e-02
ACC2R 4096 4 5.50 0.9800 1.494 0.930 1.1362e-01
ACC2R 4096 4 5.50 0.9800 1.494 0.960 1.5747e-01
ACC2R 4096 4 5.50 0.9800 1.494 0.980 1.9209e-01
ACC2R 4096 4 5.50 0.9800 1.494 1.000 2.3118e-01
ACC2R 4096 4 5.50 0.9800 1.970 0.900 5.1611e-04
ACC2R 4096 4 5.50 0.9800 1.970 0.930 1.1797e-03
ACC2R 4096 4 5.50 0.9800 1.970 0.960 3.1704e-03
ACC2R 4096 4 5.50 0.9800 1.970 0.980 5.6035e-03
ACC2R 4096 4 5.50 0.9800 1.970 1.000 9.5849e-03
ACC2R 4096 4 5.50 0.9800 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9800 3.056 0.930 0.0000e+00
