# EXPERIMENTAL: do not ship as default. The sparse lookup picked a slower
# band on the inspiral reference; see docs/tooling-cleanup.md.
# Relative CPU COST rows; current runtime gate; serial interleaved timing
# cpu AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# n band U K snr f beff margin relative_cost
COST 4096 1024 2 8 5.50 0.900000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 10.049 1.000 2.949265
COST 4096 2048 2 8 5.50 1.000000 10.049 1.000 2.863482
COST 4096 64 2 4 5.50 1.000000 8.141 1.000 0.083111
COST 4096 64 2 8 5.50 1.000000 8.141 1.000 0.079603
COST 4096 128 2 4 5.50 1.000000 8.141 1.000 0.114174
COST 4096 128 2 8 5.50 1.000000 8.141 1.000 0.115903
COST 4096 256 2 4 5.50 1.000000 8.141 1.000 0.260229
COST 4096 256 2 8 5.50 1.000000 8.141 1.000 0.263083
COST 4096 512 2 4 5.50 1.000000 8.141 1.000 0.537373
COST 4096 512 2 8 5.50 1.000000 8.141 1.000 0.537104
COST 4096 1024 2 4 5.50 1.000000 8.141 1.000 1.003248
COST 4096 1024 2 8 5.50 1.000000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 8.141 1.000 2.972013
COST 4096 2048 2 8 5.50 1.000000 8.141 1.000 2.898596
COST 4096 64 2 4 5.50 0.900000 32.122 1.000 0.478880
COST 4096 64 2 8 5.50 0.900000 32.122 1.000 0.440480
COST 4096 128 2 4 5.50 0.914890 33.189 1.000 0.158985
COST 4096 128 2 8 5.50 0.914890 33.189 1.000 0.150843
COST 4096 256 2 4 5.50 0.938391 34.910 1.000 0.284775
COST 4096 256 2 8 5.50 0.938391 34.910 1.000 0.285354
COST 4096 512 2 4 5.50 0.967848 37.131 1.000 0.595777
COST 4096 512 2 8 5.50 0.967848 37.131 1.000 0.593910
COST 4096 1024 2 4 5.50 0.991570 38.972 1.000 1.017375
COST 4096 1024 2 8 5.50 0.991570 38.972 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 39.637 1.000 2.890916
COST 4096 2048 2 8 5.50 1.000000 39.637 1.000 2.846455
COST 4096 64 2 4 5.50 0.882638 31.334 1.000 0.451377
COST 4096 64 2 8 5.50 0.882638 31.334 1.000 0.396472
COST 4096 128 2 4 5.50 0.900000 32.566 1.000 0.173664
COST 4096 128 2 8 5.50 0.900000 32.566 1.000 0.170270
COST 4096 256 2 4 5.50 0.927612 34.587 1.000 0.284411
COST 4096 256 2 8 5.50 0.927612 34.587 1.000 0.281040
COST 4096 512 2 4 5.50 0.962223 37.209 1.000 0.588354
COST 4096 512 2 8 5.50 0.962223 37.209 1.000 0.583886
COST 4096 1024 2 4 5.50 0.990096 39.393 1.000 1.027292
COST 4096 1024 2 8 5.50 0.990096 39.393 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 40.185 1.000 2.929739
COST 4096 2048 2 8 5.50 1.000000 40.185 1.000 2.970468
COST 4096 64 2 4 5.50 0.882277 31.342 1.000 0.444582
COST 4096 64 2 8 5.50 0.882277 31.342 1.000 0.387132
COST 4096 128 2 4 5.50 0.899651 32.576 1.000 0.168415
